beast,0.845825
blastn,0.497365
gunzip,0.054116
muscle,1.330236
nhmmer,0.621253
phyml,1.401768
prokka,0.112731
snippy,0.727940
velvetg,1.191412
velveth,1.062123
geometric mean,0.554311

beast,,,,,,,,,,,,,avg,stdev,min,max
muscle,,,,,,,,,,,,,avg,stdev,min,max
User time (seconds),63.78,63.67,63.57,63.64,63.73,63.64,63.57,63.49,63.9,63.76,63.73,,63.68,0.11549891774384627,63.49,63.9
System time (seconds),0.05,0.05,0.03,0.06,0.05,0.06,0.08,0.04,0.06,0.04,0.05,,0.051818181818181826,0.013280197150781926,0.03,0.08
Fraction of CPU this job got,0.96,0.98,0.95,0.98,0.95,0.99,0.98,0.99,0.97,0.98,0.97,,0.9727272727272728,0.014206272622267327,0.95,0.99
Elapsed (wall clock) time in seconds,65.97,64.72,66.91,64.38,66.71,64.32,64.54,63.81,65.6,65.01,65.64,,65.23727272727272,1.0107629881341198,63.81,66.91
Average shared text size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average unshared data size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average stack size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average total size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Maximum resident set size (kbytes),65280.0,65276.0,65280.0,65280.0,65280.0,65280.0,65276.0,65276.0,65888.0,65280.0,65276.0,,65333.818181818184,183.8117614201105,65276.0,65888.0
Average resident set size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Major (requiring I/O) page faults,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,0.0,2.0,2.0
Minor (reclaiming a frame) page faults,23682.0,23681.0,23680.0,23679.0,23682.0,23677.0,23682.0,23682.0,23683.0,23682.0,23682.0,,23681.090909090908,1.7580981459830651,23677.0,23683.0
Voluntary context switches,13.0,12.0,11.0,11.0,13.0,11.0,13.0,14.0,15.0,12.0,15.0,,12.727272727272727,1.4893561757289013,11.0,15.0
Involuntary context switches,105.0,106.0,112.0,122.0,107.0,116.0,114.0,170.0,232.0,216.0,181.0,,143.72727272727272,47.43224833189106,105.0,232.0
